id,authors,title,average_rating,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url
1348,Dr. Seuss,Horton Hears a Who!,4.16,1149,3284,15440,24307,39049,https://images.gr-assets.com/books/1327924655m/7779.jpg
1349,Michael   Lewis,The Blind Side: Evolution of a Game,4.16,1235,2171,10263,22861,29089,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1350,Garth Nix,"Lirael (Abhorsen, #2)",4.29,700,1867,11594,30134,42646,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1351,James Patterson,"School's Out—Forever (Maximum Ride, #2)",4.16,1342,3805,16869,30866,43941,https://images.gr-assets.com/books/1346079917m/13139.jpg
1352,"Yana Toboso, Tomo Kimura","Black Butler, Vol. 1 (Black Butler, #1)",4.37,1380,2566,8886,16896,45723,https://images.gr-assets.com/books/1336691148m/6690979.jpg
1353,Marissa Meyer,"Winter (The Lunar Chronicles, #4)",4.49,359,1436,9090,32666,67187,https://images.gr-assets.com/books/1470057036m/13206900.jpg
1354,"Robert Louis Stevenson, Robert Mighall",The Strange Case of Dr. Jekyll and Mr. Hyde and Other Tales of Terror,3.94,585,3466,20735,31129,24734,https://images.gr-assets.com/books/1327927453m/51497.jpg
1355,Emily Seife,The Hunger Games Tribute Guide,4.4,1503,1999,7561,13505,43098,https://images.gr-assets.com/books/1322760235m/13027304.jpg
1356,Peter V. Brett,"The Warded Man (Demon Cycle, #1)",4.27,1086,2245,9429,27034,37849,https://images.gr-assets.com/books/1354571949m/3428935.jpg
1357,John Bunyan,The Pilgrim's Progress,3.98,2639,5492,14895,20757,32338,https://images.gr-assets.com/books/1405982367m/29797.jpg
1358,Lee Child,"One Shot (Jack Reacher, #9)",4.2,289,1204,10908,30708,28330,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1359,Rick Riordan,"The Serpent's Shadow (Kane Chronicles, #3)",4.28,483,2042,13098,29853,44056,https://images.gr-assets.com/books/1366227982m/12893742.jpg
1360,Stephen King,Duma Key,3.93,1249,4629,18274,30121,25323,https://images.gr-assets.com/books/1470266968m/472343.jpg
1361,Kate Morton,The House at Riverton,3.93,920,3728,18993,33495,23757,https://images.gr-assets.com/books/1356452218m/1278752.jpg
1362,Robert Jordan,"Winter's Heart (Wheel of Time, #9)",3.92,1205,5085,18770,26473,25981,https://images.gr-assets.com/books/1480096268m/13891.jpg
1363,Jim Butcher,"Proven Guilty (The Dresden Files, #8)",4.41,96,463,7367,30876,41888,https://images.gr-assets.com/books/1345667469m/91474.jpg
1364,"Fyodor Dostoyevsky, Andrew R. MacAndrew, Ben Marcus","Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",4.17,797,2379,10752,23667,29365,https://images.gr-assets.com/books/1411241656m/17876.jpg
1365,Carson McCullers,The Heart is a Lonely Hunter,3.97,1669,4615,15067,26918,26743,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1366,Rick Yancey,"The Infinite Sea (The 5th Wave, #2)",3.94,1026,4653,20427,37169,27776,https://images.gr-assets.com/books/1395351812m/16131484.jpg
1367,T.H. White,The Once and Future King (The Once and Future King #1-4),4.08,1380,3726,15249,29310,33264,https://images.gr-assets.com/books/1338741283m/43545.jpg
1368,Terry Pratchett,"Small Gods (Discworld, #13)",4.27,310,1670,12118,28674,38754,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1369,Christopher Paul Curtis,"Bud, Not Buddy",3.89,1872,5221,17604,25451,25272,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1370,Alison Bechdel,Fun Home: A Family Tragicomic,4.12,1782,3527,12990,29660,35035,https://images.gr-assets.com/books/1327652831m/38990.jpg
1371,Dan Ariely,Predictably Irrational: The Hidden Forces That Shape Our Decisions,4.1,820,2378,11522,27465,25808,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1372,أحمد مراد,الفيل الأزرق,3.8,2780,4687,11444,16996,18433,https://images.gr-assets.com/books/1485105416m/16031620.jpg
1373,Lynne Reid Banks,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",3.89,1461,4629,21436,28771,26119,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1374,"Robert Jordan, Brandon Sanderson","A Memory of Light (Wheel of Time, #14)",4.5,635,1293,5973,19274,48566,https://images.gr-assets.com/books/1336055749m/7743175.jpg
1375,Jesse Andrews,Me and Earl and the Dying Girl,3.58,4497,10268,26506,31103,21137,https://images.gr-assets.com/books/1337216932m/12700353.jpg
1376,Jeff Kinney,"The Ugly Truth (Diary of a Wimpy Kid, #5)",4.16,1450,3520,12626,19330,35608,https://images.gr-assets.com/books/1332046095m/7823678.jpg
1377,Janet Evanovich,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",4.34,641,1359,8614,17894,35186,https://images.gr-assets.com/books/1317792858m/147074.jpg
1378,Simon Winchester,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",3.84,2012,4388,18659,29538,21311,https://images.gr-assets.com/books/1407110918m/25019.jpg
1379,"James Patterson, Andrew Gross","2nd Chance (Women's Murder Club, #2)",4.01,391,2580,17641,29784,24904,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1380,Art Spiegelman,"The Complete Maus (Maus, #1-2)",4.53,329,981,6162,23266,53585,https://images.gr-assets.com/books/1327354180m/15195.jpg
1381,Jasper Fforde,"The Eyre Affair (Thursday Next, #1)",3.92,2396,5923,20322,34636,31354,https://images.gr-assets.com/books/1445540555m/27003.jpg
1382,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",Anne Rice's The Vampire Lestat: A Graphic Novel,4.17,661,1946,11282,20032,27982,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1383,"Louis Sachar, Adam McCauley",Sideways Stories from Wayside School (Wayside School #1),4.14,1258,3088,14298,24342,35041,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1384,"Dalai Lama XIV, Howard C. Cutler",The Art of Happiness,4.14,895,2240,11259,22402,27619,https://images.gr-assets.com/books/1309287434m/38210.jpg
1385,David Mitchell,The Bone Clocks,3.81,2353,4849,14146,25148,18714,https://images.gr-assets.com/books/1398205538m/20819685.jpg
1386,Anna Quindlen,Black and Blue,3.86,792,3688,18693,27754,18746,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1387,"L.J. Smith, Kevin Williamson, Julie Plec","Origins (The Vampire Diaries: Stefan's Diaries, #1)",4.1,2206,3884,10829,12969,31000,https://images.gr-assets.com/books/1282055412m/7726143.jpg
1388,John Grisham,The Last Juror,3.85,606,3118,19000,26907,17324,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1389,Chuck Palahniuk,Diary,3.6,1633,6299,19618,21016,12803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1390,Janet Evanovich,"Eleven on Top (Stephanie Plum, #11)",4.15,274,1975,17144,34202,35258,https://images.gr-assets.com/books/1166394806m/11003.jpg
1391,"Cornelia Funke, Anthea Bell","Inkspell (Inkworld, #2)",3.91,1682,5597,21565,32140,29324,https://images.gr-assets.com/books/1395358683m/28195.jpg
1392,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",3.75,1756,4741,14755,21605,15010,https://images.gr-assets.com/books/1380742001m/599.jpg
1393,Evelyn Waugh,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,3.99,1543,4150,15441,27191,27921,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1394,Jim Butcher,"White Night (The Dresden Files, #9)",4.41,109,558,7558,30249,41965,https://images.gr-assets.com/books/1309552288m/91475.jpg
1395,Jessie Burton,The Miniaturist,3.58,2490,7022,22942,26801,13683,https://images.gr-assets.com/books/1392415313m/18498569.jpg
1396,"Margaret Weis, Tracy Hickman","Dragons of Autumn Twilight  (Dragonlance: Chronicles, #1)",4.03,2258,3971,15654,26532,32441,https://images.gr-assets.com/books/1390668127m/259836.jpg
1397,Eoin Colfer,"The Lost Colony (Artemis Fowl, #5)",4.01,2469,4725,22169,38160,40493,https://images.gr-assets.com/books/1360177158m/37586.jpg
1398,Scott Westerfeld,"Extras (Uglies, #4)",3.59,3389,10946,27336,27149,21960,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1399,John Flanagan,"The Burning Bridge (Ranger's Apprentice, #2)",4.28,629,1847,11085,26331,39127,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1400,Deborah Harkness,"The Book of Life (All Souls Trilogy, #3)",4.15,865,3154,13131,27271,33781,https://images.gr-assets.com/books/1389281784m/16054217.jpg
1401,Julia Cameron,The Artist's Way: A Spiritual Path to Higher Creativity,3.89,4362,4667,12282,19762,27056,https://images.gr-assets.com/books/1440952332m/615570.jpg
1402,"Jon Scieszka, Lane Smith",The Stinky Cheese Man and Other Fairly Stupid Tales,4.2,1304,3111,13104,22685,38924,https://images.gr-assets.com/books/1488588399m/407429.jpg
1403,Joe Hill,Horns,3.92,1490,3986,16998,31102,23029,https://images.gr-assets.com/books/1402958805m/6587879.jpg
1404,Robert K. Massie,Catherine the Great: Portrait of a Woman,3.91,3282,3485,13328,25533,24133,https://images.gr-assets.com/books/1403395276m/10414941.jpg
1405,Margaret Atwood,"The Year of the Flood  (MaddAddam, #2)",4.05,743,2970,14154,33112,26180,https://images.gr-assets.com/books/1327906873m/6080337.jpg
1406,Kristin Hannah,Winter Garden,4.13,863,2603,12545,28571,30133,https://images.gr-assets.com/books/1265932201m/6668467.jpg
1407,John Grisham,The King of Torts,3.67,1244,5632,21215,22824,14419,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1408,"Marcus Luttrell, Patrick Robinson",Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,4.34,752,1742,6835,17239,32492,https://images.gr-assets.com/books/1344265535m/711901.jpg
1409,Chetan Bhagat,The 3 Mistakes of My Life,2.97,5980,12683,19012,11196,5923,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1410,Agatha Christie,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",4.2,366,2006,14337,31542,36289,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1411,Richard Wright,Native Son,3.96,1828,3920,14032,25876,24378,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1412,Brent Weeks,"Shadow's Edge (Night Angel, #2)",4.27,434,1701,9473,25851,33188,https://images.gr-assets.com/books/1327881435m/3754016.jpg
1413,Veronica Rossi,"Under the Never Sky (Under the Never Sky, #1)",4.01,2732,4772,17161,34217,35431,https://images.gr-assets.com/books/1356591725m/11594257.jpg
1414,Nicholas Sparks,"True Believer (Jeremy Marsh & Lexie Darnell, #1)",3.8,1397,5007,19130,22451,19640,https://images.gr-assets.com/books/1385739017m/3464.jpg
1415,Eric Ries,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,4.04,2814,4154,15708,31854,36127,https://images.gr-assets.com/books/1333576876m/10127019.jpg
1416,Richelle Mead,"The Golden Lily (Bloodlines, #2)",4.36,688,1779,10687,29356,49277,https://images.gr-assets.com/books/1360599818m/8709523.jpg
1417,Lauren Weisberger,Chasing Harry Winston,3.32,3964,10309,23393,17306,10927,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1418,David Eddings,"Magician's Gambit (The Belgariad, #3)",4.13,635,2441,13588,26335,29821,https://images.gr-assets.com/books/1315276590m/44688.jpg
1419,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",The Stand: Captain Trips,4.43,747,1162,5837,14861,35367,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1420,William L. Shirer,The Rise and Fall of the Third Reich: A History of Nazi Germany,4.15,1201,2344,11463,23137,29859,https://images.gr-assets.com/books/1331223772m/767171.jpg
1421,Nick Hornby,A Long Way Down,3.41,2135,8570,25521,22277,9173,https://images.gr-assets.com/books/1467861525m/10073.jpg
1422,"Jeff Smith, Steve Hamaker","Out from Boneville (Bone, #1)",4.16,1652,2967,10427,16827,31203,https://images.gr-assets.com/books/1327921261m/106134.jpg
1423,Stephen King,Rose Madder,3.66,2065,8052,23483,22705,19946,https://images.gr-assets.com/books/1375870513m/10619.jpg
1424,Lee Child,"Die Trying (Jack Reacher, #2)",4.0,428,2354,15935,32853,22094,https://images.gr-assets.com/books/1377633008m/220969.jpg
1425,"Kami Garcia, Margaret Stohl, Paz Pruneda","Beautiful Chaos (Caster Chronicles, #3)",3.95,1505,4994,18812,27022,29159,https://images.gr-assets.com/books/1327878503m/10757833.jpg
1426,Jodi Picoult,Keeping Faith,3.79,1023,4612,19883,26392,17348,https://images.gr-assets.com/books/1407111555m/10913.jpg
1427,Joe Hill,Heart-Shaped Box,3.82,1652,5086,18820,28529,20496,https://images.gr-assets.com/books/1328043955m/153025.jpg
1428,Jeff Kinney,"Cabin Fever (Diary of a Wimpy Kid, #6)",4.21,1409,3029,10671,17456,35433,https://images.gr-assets.com/books/1350396037m/11254250.jpg
1429,Brent Weeks,"Beyond the Shadows (Night Angel, #3)",4.29,509,1891,9044,23347,34148,https://images.gr-assets.com/books/1327881432m/3754026.jpg
1430,Lauren Weisberger,Everyone Worth Knowing,3.39,2679,9025,22634,17978,10564,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1431,Brian Jacques,"Redwall (Redwall, #1)",4.11,1120,2911,15209,29384,33140,https://images.gr-assets.com/books/1327877368m/7996.jpg
1432,"Karl Marx, Friedrich Engels, Gareth Stedman Jones",The Communist Manifesto,3.51,3561,8413,22295,20537,15271,https://images.gr-assets.com/books/1420003664m/30474.jpg
1433,Ruth Ware,The Woman in Cabin 10,3.67,2029,8795,33879,43732,21386,https://images.gr-assets.com/books/1465878007m/28187230.jpg
1434,James Fenimore Cooper,The Last of the Mohicans (The Leatherstocking Tales #2),3.69,3038,6975,19690,24157,20052,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1435,William Styron,Sophie's Choice,4.18,1244,2666,10630,23727,32810,https://images.gr-assets.com/books/1356714742m/228560.jpg
1436,Sophie Kinsella,"Shopaholic and Sister (Shopaholic, #4)",3.64,1277,6964,25200,23997,16302,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1437,Julie Kagawa,The Iron Daughter,4.13,1505,4105,17023,31360,42806,https://images.gr-assets.com/books/1271790654m/7747064.jpg
1438,Bruce H. Wilkinson,The Prayer of Jabez:  Breaking Through to the Blessed Life,3.92,2961,4213,11797,14888,24197,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1439,Karen Thompson Walker,The Age of Miracles,3.64,1574,6625,22105,27557,13932,https://images.gr-assets.com/books/1342487370m/12401556.jpg
1440,Mitch Albom,Have a Little Faith: a True Story,4.16,641,2021,10903,22733,26798,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1441,"Julia Child, Alex Prud'Homme",My Life in France,4.16,706,1872,10703,26938,27358,https://images.gr-assets.com/books/1395564378m/5084.jpg
1442,Graeme Simsion,"The Rosie Effect (Don Tillman, #2)",3.56,1191,6636,25126,25659,11235,https://images.gr-assets.com/books/1426407990m/21844019.jpg
1443,Amish Tripathi,The Secret of the Nagas (Shiva Trilogy #2),3.98,586,2413,11661,23263,17131,https://images.gr-assets.com/books/1308930273m/11827808.jpg
1444,Charles Bukowski,Ham on Rye,4.16,641,1897,9576,24523,25106,https://images.gr-assets.com/books/1388195001m/38501.jpg
1445,Wendelin Van Draanen,Flipped,3.94,1175,4843,19570,28606,27512,https://images.gr-assets.com/books/1388554293m/331920.jpg
1446,"Travis Bradberry, Jean Greaves, Patrick Lencioni",Emotional Intelligence 2.0,3.81,2234,3927,13314,17439,17468,https://images.gr-assets.com/books/1328765863m/6486483.jpg
1447,Robert McCloskey,Make Way for Ducklings,4.21,1398,2784,11683,19309,36931,https://images.gr-assets.com/books/1362580777m/29291.jpg
1448,"Douglas Preston, Lincoln Child","Relic (Pendergast, #1)",4.01,993,3349,15578,27328,26095,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1449,Bill Bryson,Notes from a Small Island,3.91,1073,3717,17241,29024,21366,https://images.gr-assets.com/books/1479653223m/28.jpg
1450,Jim Butcher,"Small Favor (The Dresden Files, #10)",4.43,69,419,6473,28646,40646,https://images.gr-assets.com/books/1298085176m/927979.jpg
1451,Robert Kirkman,"The Walking Dead, Compendium 1",4.43,849,1260,5314,15352,35837,https://images.gr-assets.com/books/1449865699m/6465707.jpg
1452,Shannon Hale,"Princess Academy (Princess Academy, #1)",4.01,1062,3781,18451,34060,30371,https://images.gr-assets.com/books/1349410861m/85990.jpg
1453,"Nicola Yoon, David Yoon","Everything, Everything",4.11,2262,6555,25928,53989,61673,https://images.gr-assets.com/books/1450515891m/18692431.jpg
1454,George Bernard Shaw,Pygmalion,3.9,895,4044,19262,29217,22185,https://images.gr-assets.com/books/1453757285m/7714.jpg
1455,Barbara Kingsolver,Flight Behavior,3.75,1681,5240,16765,25871,16036,https://images.gr-assets.com/books/1352212134m/13438524.jpg
1456,Brandon Mull,"Grip of the Shadow Plague (Fablehaven, #3)",4.26,1353,1859,8785,21812,33850,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1457,Helen Fielding,"Bridget Jones: The Edge of Reason (Bridget Jones, #2)",3.53,1959,9506,28844,25992,15298,https://images.gr-assets.com/books/1395233618m/363752.jpg
1458,Louis de Bernières,Corelli's Mandolin,3.95,1734,4029,13185,23679,22969,https://images.gr-assets.com/books/1479680795m/3388.jpg
1459,Nicholas Sparks,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",3.81,1492,5098,17959,22090,19978,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1460,Bill Bryson,In a Sunburned Country,4.05,607,2214,12998,28184,22665,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
1461,Arthur Conan Doyle,The Memoirs of Sherlock Holmes,4.32,398,1005,8433,23292,32856,https://images.gr-assets.com/books/1410716044m/194373.jpg
1462,Adam Johnson,The Orphan Master's Son,4.06,1671,3341,9883,23007,25504,https://images.gr-assets.com/books/1327878601m/11529868.jpg
1463,David Eddings,"Enchanters' End Game (The Belgariad, #5)",4.17,677,2478,12604,25188,32085,https://images.gr-assets.com/books/1217735909m/44687.jpg
